"08981: Konsumprisindeks (2015=100), etter måned, år og statistikkvariabel"

"måned";"år";"Konsumprisindeks (2015=100)"
"Januar";"1959";8.3
"Januar";"1960";8.3
"Januar";"1961";8.3
"Januar";"1962";8.7
"Januar";"1963";9.1
"Januar";"1964";9.4
"Januar";"1965";9.9
"Januar";"1966";10.2
"Januar";"1967";10.7
"Januar";"1968";11.1
"Januar";"1969";11.4
"Januar";"1970";12.4
"Januar";"1971";13.4
"Januar";"1972";14.2
"Januar";"1973";15.1
"Januar";"1974";16.5
"Januar";"1975";18.4
"Januar";"1976";20.1
"Januar";"1977";21.9
"Januar";"1978";23.9
"Januar";"1979";25.3
"Januar";"1980";26.9
"Januar";"1981";31.0
"Januar";"1982";34.8
"Januar";"1983";38.3
"Januar";"1984";40.7
"Januar";"1985";43.1
"Januar";"1986";45.6
"Januar";"1987";49.9
"Januar";"1988";53.5
"Januar";"1989";56.2
"Januar";"1990";58.6
"Januar";"1991";61.0
"Januar";"1992";62.4
"Januar";"1993";64.0
"Januar";"1994";64.9
"Januar";"1995";66.6
"Januar";"1996";67.3
"Januar";"1997";69.3
"Januar";"1998";70.7
"Januar";"1999";72.4
"Januar";"2000";74.5
"Januar";"2001";76.9
"Januar";"2002";78.0
"Januar";"2003";81.9
"Januar";"2004";80.4
"Januar";"2005";81.2
"Januar";"2006";82.7
"Januar";"2007";83.7
"Januar";"2008";86.7
"Januar";"2009";88.7
"Januar";"2010";90.9
"Januar";"2011";92.7
"Januar";"2012";93.2
"Januar";"2013";94.5
"Januar";"2014";96.6
"Januar";"2015";98.6
"Januar";"2016";101.5
"Januar";"2017";104.3
"Januar";"2018";106.0
"Januar";"2019";109.3
"Januar";"2020";111.3
"Januar";"2021";114.1
"Januar";"2022";117.8
"Januar";"2023";126.1
"Januar";"2024";132.0
"Januar";"2025";135.1
"Februar";"1920";.
"Februar";"1921";5.4
"Februar";"1922";4.5
"Februar";"1923";4.0
"Februar";"1924";4.2
"Februar";"1925";4.8
"Februar";"1926";4.0
"Februar";"1927";3.6
"Februar";"1928";3.3
"Februar";"1929";3.1
"Februar";"1930";3.0
"Februar";"1931";2.9
"Februar";"1932";2.8
"Februar";"1933";2.7
"Februar";"1934";2.7
"Februar";"1935";2.8
"Februar";"1936";2.9
"Februar";"1937";2.9
"Februar";"1938";3.2
"Februar";"1939";3.1
"Februar";"1940";3.4
"Februar";"1941";4.2
"Februar";"1942";4.6
"Februar";"1943";4.8
"Februar";"1944";4.8
"Februar";"1945";4.9
"Februar";"1946";5.0
"Februar";"1947";5.1
"Februar";"1948";5.1
"Februar";"1949";5.0
"Februar";"1950";5.1
"Februar";"1951";5.7
"Februar";"1952";6.6
"Februar";"1953";6.8
"Februar";"1954";6.9
"Februar";"1955";7.2
"Februar";"1956";7.3
"Februar";"1957";7.6
"Februar";"1958";7.8
"Februar";"1959";8.3
"Februar";"1960";8.3
"Februar";"1961";8.3
"Februar";"1962";8.7
"Februar";"1963";9.2
"Februar";"1964";9.5
"Februar";"1965";9.9
"Februar";"1966";10.2
"Februar";"1967";10.7
"Februar";"1968";11.1
"Februar";"1969";11.5
"Februar";"1970";12.5
"Februar";"1971";13.4
"Februar";"1972";14.2
"Februar";"1973";15.3
"Februar";"1974";16.6
"Februar";"1975";18.5
"Februar";"1976";20.2
"Februar";"1977";22.0
"Februar";"1978";24.0
"Februar";"1979";25.4
"Februar";"1980";27.4
"Februar";"1981";31.3
"Februar";"1982";35.0
"Februar";"1983";38.5
"Februar";"1984";40.9
"Februar";"1985";43.2
"Februar";"1986";45.8
"Februar";"1987";50.4
"Februar";"1988";53.8
"Februar";"1989";56.4
"Februar";"1990";58.8
"Februar";"1991";61.2
"Februar";"1992";62.6
"Februar";"1993";64.2
"Februar";"1994";65.1
"Februar";"1995";66.8
"Februar";"1996";67.4
"Februar";"1997";69.6
"Februar";"1998";71.0
"Februar";"1999";72.5
"Februar";"2000";74.8
"Februar";"2001";77.5
"Februar";"2002";78.1
"Februar";"2003";82.0
"Februar";"2004";80.5
"Februar";"2005";81.3
"Februar";"2006";83.4
"Februar";"2007";84.0
"Februar";"2008";87.2
"Februar";"2009";89.4
"Februar";"2010";92.0
"Februar";"2011";93.1
"Februar";"2012";94.2
"Februar";"2013";95.1
"Februar";"2014";97.1
"Februar";"2015";98.9
"Februar";"2016";102.1
"Februar";"2017";104.7
"Februar";"2018";107.0
"Februar";"2019";110.2
"Februar";"2020";111.2
"Februar";"2021";114.9
"Februar";"2022";119.1
"Februar";"2023";126.6
"Februar";"2024";132.3
"Februar";"2025";137.0
"Mars";"1920";5.1
"Mars";"1921";5.2
"Mars";"1922";4.4
"Mars";"1923";4.0
"Mars";"1924";4.3
"Mars";"1925";4.8
"Mars";"1926";3.9
"Mars";"1927";3.5
"Mars";"1928";3.2
"Mars";"1929";3.1
"Mars";"1930";3.0
"Mars";"1931";2.9
"Mars";"1932";2.8
"Mars";"1933";2.7
"Mars";"1934";2.7
"Mars";"1935";2.8
"Mars";"1936";2.9
"Mars";"1937";3.0
"Mars";"1938";3.2
"Mars";"1939";3.1
"Mars";"1940";3.6
"Mars";"1941";4.3
"Mars";"1942";4.6
"Mars";"1943";4.8
"Mars";"1944";4.8
"Mars";"1945";4.9
"Mars";"1946";5.0
"Mars";"1947";5.1
"Mars";"1948";5.1
"Mars";"1949";5.0
"Mars";"1950";5.1
"Mars";"1951";5.8
"Mars";"1952";6.6
"Mars";"1953";6.8
"Mars";"1954";7.0
"Mars";"1955";7.2
"Mars";"1956";7.3
"Mars";"1957";7.7
"Mars";"1958";7.9
"Mars";"1959";8.2
"Mars";"1960";8.3
"Mars";"1961";8.4
"Mars";"1962";8.8
"Mars";"1963";9.2
"Mars";"1964";9.5
"Mars";"1965";10.1
"Mars";"1966";10.3
"Mars";"1967";10.7
"Mars";"1968";11.2
"Mars";"1969";11.5
"Mars";"1970";12.6
"Mars";"1971";13.5
"Mars";"1972";14.3
"Mars";"1973";15.4
"Mars";"1974";16.8
"Mars";"1975";18.7
"Mars";"1976";20.5
"Mars";"1977";22.4
"Mars";"1978";24.3
"Mars";"1979";25.5
"Mars";"1980";27.8
"Mars";"1981";31.9
"Mars";"1982";35.6
"Mars";"1983";38.9
"Mars";"1984";41.4
"Mars";"1985";43.7
"Mars";"1986";46.1
"Mars";"1987";50.9
"Mars";"1988";54.6
"Mars";"1989";56.9
"Mars";"1990";59.5
"Mars";"1991";61.6
"Mars";"1992";63.1
"Mars";"1993";64.8
"Mars";"1994";65.4
"Mars";"1995";67.2
"Mars";"1996";67.7
"Mars";"1997";69.7
"Mars";"1998";71.4
"Mars";"1999";73.0
"Mars";"2000";74.9
"Mars";"2001";77.7
"Mars";"2002";78.4
"Mars";"2003";81.4
"Mars";"2004";80.9
"Mars";"2005";81.7
"Mars";"2006";83.6
"Mars";"2007";84.5
"Mars";"2008";87.2
"Mars";"2009";89.4
"Mars";"2010";92.5
"Mars";"2011";93.4
"Mars";"2012";94.1
"Mars";"2013";95.4
"Mars";"2014";97.3
"Mars";"2015";99.2
"Mars";"2016";102.5
"Mars";"2017";105.0
"Mars";"2018";107.3
"Mars";"2019";110.4
"Mars";"2020";111.2
"Mars";"2021";114.6
"Mars";"2022";119.8
"Mars";"2023";127.6
"Mars";"2024";132.6
"Mars";"2025";136.1
"April";"1920";5.2
"April";"1921";5.3
"April";"1922";4.4
"April";"1923";4.0
"April";"1924";4.3
"April";"1925";4.7
"April";"1926";3.9
"April";"1927";3.4
"April";"1928";3.2
"April";"1929";3.1
"April";"1930";3.0
"April";"1931";2.9
"April";"1932";2.8
"April";"1933";2.7
"April";"1934";2.7
"April";"1935";2.8
"April";"1936";2.9
"April";"1937";3.0
"April";"1938";3.2
"April";"1939";3.2
"April";"1940";3.6
"April";"1941";4.3
"April";"1942";4.6
"April";"1943";4.8
"April";"1944";4.9
"April";"1945";4.9
"April";"1946";5.0
"April";"1947";5.1
"April";"1948";5.1
"April";"1949";5.0
"April";"1950";5.2
"April";"1951";6.1
"April";"1952";6.6
"April";"1953";6.8
"April";"1954";7.0
"April";"1955";7.2
"April";"1956";7.4
"April";"1957";7.7
"April";"1958";8.0
"April";"1959";8.2
"April";"1960";8.3
"April";"1961";8.4
"April";"1962";8.9
"April";"1963";9.2
"April";"1964";9.6
"April";"1965";10.1
"April";"1966";10.3
"April";"1967";10.7
"April";"1968";11.2
"April";"1969";11.5
"April";"1970";12.6
"April";"1971";13.5
"April";"1972";14.4
"April";"1973";15.5
"April";"1974";17.0
"April";"1975";18.8
"April";"1976";20.7
"April";"1977";22.5
"April";"1978";24.4
"April";"1979";25.6
"April";"1980";28.0
"April";"1981";32.1
"April";"1982";35.7
"April";"1983";39.0
"April";"1984";41.6
"April";"1985";43.9
"April";"1986";46.4
"April";"1987";51.1
"April";"1988";54.7
"April";"1989";57.2
"April";"1990";59.5
"April";"1991";61.8
"April";"1992";63.3
"April";"1993";64.9
"April";"1994";65.5
"April";"1995";67.2
"April";"1996";67.9
"April";"1997";69.7
"April";"1998";71.4
"April";"1999";73.2
"April";"2000";75.1
"April";"2001";78.0
"April";"2002";78.5
"April";"2003";80.8
"April";"2004";81.0
"April";"2005";82.1
"April";"2006";84.3
"April";"2007";84.5
"April";"2008";87.2
"April";"2009";89.7
"April";"2010";92.7
"April";"2011";93.9
"April";"2012";94.2
"April";"2013";95.9
"April";"2014";97.7
"April";"2015";99.6
"April";"2016";102.9
"April";"2017";105.2
"April";"2018";107.7
"April";"2019";110.8
"April";"2020";111.7
"April";"2021";115.0
"April";"2022";121.2
"April";"2023";129.0
"April";"2024";133.7
"April";"2025";137.0
"Mai";"1920";5.3
"Mai";"1921";5.1
"Mai";"1922";4.3
"Mai";"1923";4.0
"Mai";"1924";4.3
"Mai";"1925";4.6
"Mai";"1926";3.8
"Mai";"1927";3.4
"Mai";"1928";3.2
"Mai";"1929";3.1
"Mai";"1930";3.0
"Mai";"1931";2.8
"Mai";"1932";2.8
"Mai";"1933";2.7
"Mai";"1934";2.7
"Mai";"1935";2.8
"Mai";"1936";2.9
"Mai";"1937";3.0
"Mai";"1938";3.2
"Mai";"1939";3.2
"Mai";"1940";3.6
"Mai";"1941";4.4
"Mai";"1942";4.6
"Mai";"1943";4.8
"Mai";"1944";4.9
"Mai";"1945";4.9
"Mai";"1946";5.0
"Mai";"1947";5.1
"Mai";"1948";5.1
"Mai";"1949";5.1
"Mai";"1950";5.3
"Mai";"1951";6.1
"Mai";"1952";6.6
"Mai";"1953";6.8
"Mai";"1954";7.1
"Mai";"1955";7.2
"Mai";"1956";7.6
"Mai";"1957";7.7
"Mai";"1958";8.1
"Mai";"1959";8.2
"Mai";"1960";8.3
"Mai";"1961";8.4
"Mai";"1962";8.9
"Mai";"1963";9.1
"Mai";"1964";9.6
"Mai";"1965";10.1
"Mai";"1966";10.3
"Mai";"1967";10.8
"Mai";"1968";11.2
"Mai";"1969";11.5
"Mai";"1970";12.7
"Mai";"1971";13.5
"Mai";"1972";14.4
"Mai";"1973";15.6
"Mai";"1974";16.9
"Mai";"1975";18.9
"Mai";"1976";20.8
"Mai";"1977";22.7
"Mai";"1978";24.4
"Mai";"1979";25.7
"Mai";"1980";28.3
"Mai";"1981";32.2
"Mai";"1982";35.8
"Mai";"1983";39.1
"Mai";"1984";41.6
"Mai";"1985";44.0
"Mai";"1986";46.5
"Mai";"1987";51.2
"Mai";"1988";54.8
