"08981: Konsumprisindeks (2015=100), etter måned, år og statistikkvariabel"

"måned";"år";"Konsumprisindeks (2015=100)"
"September";"2000";76.0
"September";"2001";77.7
"September";"2002";78.8
"September";"2003";80.4
"September";"2004";81.3
"September";"2005";82.9
"September";"2006";85.1
"September";"2007";84.8
"September";"2008";89.3
"September";"2009";90.4
"September";"2010";92.0
"September";"2011";93.4
"September";"2012";93.9
"September";"2013";96.4
"September";"2014";98.5
"September";"2015";100.6
"September";"2016";104.2
"September";"2017";105.9
"September";"2018";109.5
"September";"2019";111.1
"September";"2020";112.9
"September";"2021";117.5
"September";"2022";125.6
"September";"2023";129.8
"September";"2024";133.7
"September";"2025";.
"Oktober";"1920";5.9
"Oktober";"1921";5.0
"Oktober";"1922";4.1
"Oktober";"1923";4.0
"Oktober";"1924";4.6
"Oktober";"1925";4.2
"Oktober";"1926";3.7
"Oktober";"1927";3.4
"Oktober";"1928";3.1
"Oktober";"1929";3.1
"Oktober";"1930";2.9
"Oktober";"1931";2.8
"Oktober";"1932";2.8
"Oktober";"1933";2.7
"Oktober";"1934";2.8
"Oktober";"1935";2.8
"Oktober";"1936";2.9
"Oktober";"1937";3.2
"Oktober";"1938";3.1
"Oktober";"1939";3.3
"Oktober";"1940";4.0
"Oktober";"1941";4.5
"Oktober";"1942";4.7
"Oktober";"1943";4.8
"Oktober";"1944";4.9
"Oktober";"1945";4.9
"Oktober";"1946";5.1
"Oktober";"1947";5.0
"Oktober";"1948";5.0
"Oktober";"1949";5.1
"Oktober";"1950";5.5
"Oktober";"1951";6.3
"Oktober";"1952";6.9
"Oktober";"1953";6.9
"Oktober";"1954";7.2
"Oktober";"1955";7.2
"Oktober";"1956";7.5
"Oktober";"1957";7.7
"Oktober";"1958";8.2
"Oktober";"1959";8.3
"Oktober";"1960";8.3
"Oktober";"1961";8.7
"Oktober";"1962";9.0
"Oktober";"1963";9.1
"Oktober";"1964";9.8
"Oktober";"1965";10.1
"Oktober";"1966";10.6
"Oktober";"1967";11.0
"Oktober";"1968";11.4
"Oktober";"1969";11.7
"Oktober";"1970";13.1
"Oktober";"1971";13.9
"Oktober";"1972";14.9
"Oktober";"1973";16.0
"Oktober";"1974";17.6
"Oktober";"1975";19.7
"Oktober";"1976";21.3
"Oktober";"1977";23.4
"Oktober";"1978";25.3
"Oktober";"1979";26.3
"Oktober";"1980";29.7
"Oktober";"1981";33.5
"Oktober";"1982";37.3
"Oktober";"1983";40.1
"Oktober";"1984";42.5
"Oktober";"1985";44.9
"Oktober";"1986";48.8
"Oktober";"1987";52.5
"Oktober";"1988";55.8
"Oktober";"1989";58.2
"Oktober";"1990";60.9
"Oktober";"1991";62.4
"Oktober";"1992";63.8
"Oktober";"1993";65.1
"Oktober";"1994";66.2
"Oktober";"1995";67.7
"Oktober";"1996";68.9
"Oktober";"1997";70.3
"Oktober";"1998";71.9
"Oktober";"1999";73.7
"Oktober";"2000";76.0
"Oktober";"2001";77.7
"Oktober";"2002";79.1
"Oktober";"2003";80.4
"Oktober";"2004";81.5
"Oktober";"2005";83.0
"Oktober";"2006";85.2
"Oktober";"2007";85.0
"Oktober";"2008";89.6
"Oktober";"2009";90.2
"Oktober";"2010";92.1
"Oktober";"2011";93.3
"Oktober";"2012";94.3
"Oktober";"2013";96.6
"Oktober";"2014";98.6
"Oktober";"2015";101.0
"Oktober";"2016";104.7
"Oktober";"2017";106.0
"Oktober";"2018";109.3
"Oktober";"2019";111.3
"Oktober";"2020";113.2
"Oktober";"2021";117.2
"Oktober";"2022";126.0
"Oktober";"2023";131.1
"Oktober";"2024";134.5
"Oktober";"2025";.
"November";"1920";5.9
"November";"1921";4.9
"November";"1922";4.1
"November";"1923";4.1
"November";"1924";4.6
"November";"1925";4.1
"November";"1926";3.7
"November";"1927";3.4
"November";"1928";3.1
"November";"1929";3.1
"November";"1930";2.9
"November";"1931";2.8
"November";"1932";2.8
"November";"1933";2.7
"November";"1934";2.8
"November";"1935";2.9
"November";"1936";2.9
"November";"1937";3.2
"November";"1938";3.1
"November";"1939";3.4
"November";"1940";4.0
"November";"1941";4.5
"November";"1942";4.7
"November";"1943";4.8
"November";"1944";4.9
"November";"1945";4.9
"November";"1946";5.1
"November";"1947";5.0
"November";"1948";5.0
"November";"1949";5.1
"November";"1950";5.6
"November";"1951";6.4
"November";"1952";6.9
"November";"1953";6.9
"November";"1954";7.2
"November";"1955";7.2
"November";"1956";7.5
"November";"1957";7.7
"November";"1958";8.2
"November";"1959";8.3
"November";"1960";8.3
"November";"1961";8.7
"November";"1962";9.0
"November";"1963";9.2
"November";"1964";9.9
"November";"1965";10.2
"November";"1966";10.6
"November";"1967";11.0
"November";"1968";11.4
"November";"1969";11.7
"November";"1970";13.2
"November";"1971";13.9
"November";"1972";15.0
"November";"1973";16.1
"November";"1974";17.7
"November";"1975";19.8
"November";"1976";21.4
"November";"1977";23.4
"November";"1978";25.3
"November";"1979";26.5
"November";"1980";29.9
"November";"1981";33.6
"November";"1982";37.5
"November";"1983";40.2
"November";"1984";42.6
"November";"1985";45.0
"November";"1986";49.0
"November";"1987";52.6
"November";"1988";55.8
"November";"1989";58.2
"November";"1990";60.9
"November";"1991";62.4
"November";"1992";63.8
"November";"1993";65.1
"November";"1994";66.2
"November";"1995";67.6
"November";"1996";68.8
"November";"1997";70.4
"November";"1998";72.0
"November";"1999";74.0
"November";"2000";76.4
"November";"2001";77.7
"November";"2002";79.4
"November";"2003";80.5
"November";"2004";81.5
"November";"2005";83.0
"November";"2006";85.1
"November";"2007";86.4
"November";"2008";89.1
"November";"2009";90.5
"November";"2010";92.3
"November";"2011";93.3
"November";"2012";94.4
"November";"2013";96.7
"November";"2014";98.6
"November";"2015";101.3
"November";"2016";104.9
"November";"2017";106.1
"November";"2018";109.8
"November";"2019";111.6
"November";"2020";112.4
"November";"2021";118.1
"November";"2022";125.8
"November";"2023";131.8
"November";"2024";134.9
"November";"2025";.
"Desember";"1920";5.9
"Desember";"1921";4.7
"Desember";"1922";4.0
"Desember";"1923";4.1
"Desember";"1924";4.7
"Desember";"1925";4.1
"Desember";"1926";3.6
"Desember";"1927";3.4
"Desember";"1928";3.1
"Desember";"1929";3.1
"Desember";"1930";2.9
"Desember";"1931";2.8
"Desember";"1932";2.8
"Desember";"1933";2.7
"Desember";"1934";2.8
"Desember";"1935";2.9
"Desember";"1936";2.9
"Desember";"1937";3.2
"Desember";"1938";3.1
"Desember";"1939";3.4
"Desember";"1940";4.1
"Desember";"1941";4.6
"Desember";"1942";4.7
"Desember";"1943";4.8
"Desember";"1944";4.9
"Desember";"1945";5.0
"Desember";"1946";5.1
"Desember";"1947";5.0
"Desember";"1948";5.0
"Desember";"1949";5.1
"Desember";"1950";5.6
"Desember";"1951";6.4
"Desember";"1952";6.8
"Desember";"1953";6.9
"Desember";"1954";7.2
"Desember";"1955";7.2
"Desember";"1956";7.6
"Desember";"1957";7.7
"Desember";"1958";8.2
"Desember";"1959";8.3
"Desember";"1960";8.3
"Desember";"1961";8.7
"Desember";"1962";9.1
"Desember";"1963";9.2
"Desember";"1964";9.9
"Desember";"1965";10.2
"Desember";"1966";10.6
"Desember";"1967";11.1
"Desember";"1968";11.4
"Desember";"1969";11.8
"Desember";"1970";13.3
"Desember";"1971";14.0
"Desember";"1972";15.0
"Desember";"1973";16.2
"Desember";"1974";17.9
"Desember";"1975";19.9
"Desember";"1976";21.5
"Desember";"1977";23.4
"Desember";"1978";25.3
"Desember";"1979";26.5
"Desember";"1980";30.1
"Desember";"1981";33.7
"Desember";"1982";37.7
"Desember";"1983";40.4
"Desember";"1984";42.8
"Desember";"1985";45.2
"Desember";"1986";49.2
"Desember";"1987";52.8
"Desember";"1988";55.8
"Desember";"1989";58.2
"Desember";"1990";60.7
"Desember";"1991";62.4
"Desember";"1992";63.8
"Desember";"1993";65.0
"Desember";"1994";66.2
"Desember";"1995";67.6
"Desember";"1996";68.8
"Desember";"1997";70.4
"Desember";"1998";72.1
"Desember";"1999";74.1
"Desember";"2000";76.3
"Desember";"2001";77.9
"Desember";"2002";80.0
"Desember";"2003";80.5
"Desember";"2004";81.4
"Desember";"2005";82.9
"Desember";"2006";84.7
"Desember";"2007";87.1
"Desember";"2008";89.0
"Desember";"2009";90.8
"Desember";"2010";93.3
"Desember";"2011";93.4
"Desember";"2012";94.7
"Desember";"2013";96.6
"Desember";"2014";98.6
"Desember";"2015";100.9
"Desember";"2016";104.4
"Desember";"2017";106.1
"Desember";"2018";109.8
"Desember";"2019";111.3
"Desember";"2020";112.9
"Desember";"2021";118.9
"Desember";"2022";125.9
"Desember";"2023";131.9
"Desember";"2024";134.8
"Desember";"2025";.
